ref_chrom	qry_contig	n	total_kb
seq00000059	S-latissima_F_contig3189	1	24.2
seq00000059	S-latissima_F_contig3048	1	22.7
seq00000059	S-latissima_F_contig1977	2	22.3
seq00000059	S-latissima_F_contig3259	1	21.2
seq00000059	S-latissima_F_contig2506	1	21
seq00000059	S-latissima_F_contig2853	2	20.6
seq00000059	S-latissima_F_contig3411	1	19.5
seq00000059	S-latissima_F_contig3037	1	19.3
seq00000059	S-latissima_F_contig2942	1	18.5
seq00000059	S-latissima_F_contig3251	1	17.1
seq00000059	S-latissima_F_contig3533	1	15.8
seq00000059	S-latissima_F_contig3459	1	15.3
seq00000059	S-latissima_F_contig3052	1	15.2
seq00000059	S-latissima_F_contig3257	1	14.6
seq00000059	S-latissima_F_contig3606	1	14.4
seq00000059	S-latissima_F_contig2832	1	13.7
seq00000059	S-latissima_F_contig3741	1	10.7
seq00000059	S-latissima_F_contig3166	1	9.8
seq00000059	S-latissima_F_contig2872	1	9.3
seq00000059	S-latissima_F_contig3707	1	8.7
seq00000059	S-latissima_F_contig3695	1	7.3
seq00000059	S-latissima_F_contig4121	1	6.9
seq00000059	S-latissima_F_contig3119	1	6.3
seq00000059	S-latissima_F_contig3524	1	6.2
seq00000059	S-latissima_F_contig4337	1	6.1
seq00000059	S-latissima_F_contig4174	1	6
seq00000059	S-latissima_F_contig4284	1	5.8
seq00000059	S-latissima_F_contig4275	1	5.6
seq00000059	S-latissima_F_contig3967	1	5.4
seq00000059	S-latissima_F_contig4402	1	4.9
seq00000060	SL_26	61	4983.4
seq00000060	S-latissima_F_contig393	4	220.9
seq00000060	S-latissima_F_contig669	3	166.5
seq00000060	S-latissima_F_contig918	4	154.7
seq00000060	S-latissima_F_contig905	4	136.5
seq00000060	S-latissima_F_contig1375	1	119.7
seq00000060	S-latissima_F_contig1287	2	113.9
seq00000060	S-latissima_F_contig951	4	98.5
seq00000060	S-latissima_F_contig1730	1	86.1
seq00000060	S-latissima_F_contig1789	3	78.3
seq00000060	S-latissima_F_contig1958	1	69.3
seq00000060	S-latissima_F_contig2056	1	68.7
seq00000060	S-latissima_F_contig1940	1	48.8
seq00000060	S-latissima_F_contig2830	1	35
seq00000060	S-latissima_F_contig2856	1	31.8
seq00000060	S-latissima_F_contig2614	1	30.8
seq00000060	S-latissima_F_contig2596	2	30.2
seq00000060	S-latissima_F_contig2808	2	29.4
seq00000060	S-latissima_F_contig2950	1	29
seq00000060	S-latissima_F_contig2351	2	27.8
seq00000060	S-latissima_F_contig2516	1	27.5
seq00000060	S-latissima_F_contig2956	1	25.7
seq00000060	S-latissima_F_contig3024	1	25.5
seq00000060	S-latissima_F_contig3113	1	24.9
seq00000060	S-latissima_F_contig2709	1	20.2
seq00000060	S-latissima_F_contig3154	1	18.6
seq00000060	S-latissima_F_contig3226	1	18.5
seq00000060	S-latissima_F_contig2451	2	17.9
seq00000060	S-latissima_F_contig3336	1	15.9
seq00000060	S-latissima_F_contig2460	1	13.7
seq00000060	S-latissima_F_contig3315	1	13.2
seq00000060	S-latissima_F_contig3729	1	11.6
seq00000060	S-latissima_F_contig3557	1	10.7
seq00000060	S-latissima_F_contig4093	1	7
seq00000060	S-latissima_F_contig3831	1	6.5
seq00000060	S-latissima_F_contig3746	1	6.2
seq00000060	S-latissima_F_contig4319	1	6.2
seq00000060	S-latissima_F_contig4359	1	5.8
seq00000060	S-latissima_F_contig4377	1	5.7
seq00000060	S-latissima_F_contig4481	1	5.2
seq00000061	SL_27	130	7460
seq00000061	S-latissima_F_contig666	4	231.6
seq00000061	S-latissima_F_contig690	4	203.8
seq00000061	S-latissima_F_contig893	3	166.4
seq00000061	S-latissima_F_contig642	2	133.3
seq00000061	S-latissima_F_contig1135	2	110.1
seq00000061	S-latissima_F_contig1745	2	79.8
seq00000061	S-latissima_F_contig1608	4	78.2
seq00000061	S-latissima_F_contig1922	1	76.5
seq00000061	S-latissima_F_contig1951	2	73.1
seq00000061	S-latissima_F_contig1910	2	69.4
seq00000061	S-latissima_F_contig1892	1	68.8
seq00000061	S-latissima_F_contig2168	1	49.3
seq00000061	S-latissima_F_contig1846	2	43.6
seq00000061	S-latissima_F_contig2305	1	43.2
seq00000061	S-latissima_F_contig2790	2	36.2
seq00000061	S-latissima_F_contig2757	1	32.2
seq00000061	S-latissima_F_contig2490	1	32.1
seq00000061	S-latissima_F_contig2804	1	31.5
seq00000061	S-latissima_F_contig2837	1	29.8
seq00000061	S-latissima_F_contig1803	1	27.4
seq00000061	S-latissima_F_contig2991	1	26.2
seq00000061	S-latissima_F_contig2137	1	25.5
seq00000061	S-latissima_F_contig3450	1	18.6
seq00000061	S-latissima_F_contig3256	1	17.6
seq00000061	S-latissima_F_contig3367	1	14.8
seq00000061	S-latissima_F_contig3447	1	14.8
seq00000061	S-latissima_F_contig3421	1	14.7
seq00000061	S-latissima_F_contig3395	1	13.2
seq00000061	S-latissima_F_contig3756	1	13.1
seq00000061	S-latissima_F_contig3591	1	11.9
seq00000061	S-latissima_F_contig3752	1	11.8
seq00000061	S-latissima_F_contig2807	1	11.5
seq00000061	S-latissima_F_contig3814	1	10
seq00000061	S-latissima_F_contig3080	1	9.4
seq00000061	S-latissima_F_contig4069	1	8.9
seq00000061	S-latissima_F_contig3991	1	8.8
seq00000061	S-latissima_F_contig3767	1	6.6
seq00000061	S-latissima_F_contig3165	1	5.8
seq00000061	S-latissima_F_contig3401	1	5.7
seq00000061	S-latissima_F_contig3693	1	5.6
seq00000061	S-latissima_F_contig3990	1	5
seq00000062	SL_13	69	4183.4
seq00000062	S-latissima_F_contig1221	3	125.1
seq00000062	S-latissima_F_contig1149	3	90.5
seq00000062	S-latissima_F_contig1026	5	87.9
seq00000062	S-latissima_F_contig1558	2	85.1
seq00000062	S-latissima_F_contig1473	2	74.3
seq00000062	S-latissima_F_contig1664	2	73.6
seq00000062	S-latissima_F_contig2044	3	50.8
seq00000062	S-latissima_F_contig1747	2	50.5
seq00000062	S-latissima_F_contig2371	1	47.8
seq00000062	S-latissima_F_contig2207	1	42.2
seq00000062	S-latissima_F_contig2580	1	39
seq00000062	S-latissima_F_contig2462	1	38.9
seq00000062	S-latissima_F_contig2843	1	34.5
seq00000062	S-latissima_F_contig2502	2	32.6
seq00000062	S-latissima_F_contig1970	3	31.6
seq00000062	S-latissima_F_contig2877	2	27
seq00000062	S-latissima_F_contig3065	2	26.6
seq00000062	S-latissima_F_contig3366	1	19.8
seq00000062	S-latissima_F_contig3394	1	19
seq00000062	S-latissima_F_contig3238	1	18.9
seq00000062	S-latissima_F_contig3281	1	18.2
seq00000062	S-latissima_F_contig3132	1	17.7
seq00000062	S-latissima_F_contig3509	1	17
seq00000062	S-latissima_F_contig3293	1	15.5
seq00000062	S-latissima_F_contig3574	1	14.3
seq00000062	S-latissima_F_contig2976	1	13
seq00000062	S-latissima_F_contig3369	1	12.4
seq00000062	S-latissima_F_contig3168	1	11.6
seq00000062	S-latissima_F_contig3663	1	10.7
seq00000062	S-latissima_F_contig3402	1	9.8
seq00000062	S-latissima_F_contig3265	1	8.4
seq00000062	S-latissima_F_contig3148	1	7.9
seq00000062	S-latissima_F_contig3996	1	7.5
seq00000062	S-latissima_F_contig4111	1	6.8
seq00000062	S-latissima_F_contig4316	1	4.6
seq00000063	SL_30	54	3935.5
seq00000063	S-latissima_F_contig1060	3	135.5
seq00000063	S-latissima_F_contig1093	1	120.6
seq00000063	S-latissima_F_contig1148	2	114.9
seq00000063	S-latissima_F_contig738	1	109.5
seq00000063	S-latissima_F_contig1464	2	86.8
seq00000063	S-latissima_F_contig1785	2	78.5
seq00000063	S-latissima_F_contig1995	2	62.9
seq00000063	S-latissima_F_contig2034	1	56.7
seq00000063	S-latissima_F_contig2135	2	54.4
seq00000063	S-latissima_F_contig2338	1	52
seq00000063	S-latissima_F_contig2206	2	48.9
seq00000063	S-latissima_F_contig2467	1	44.9
seq00000063	S-latissima_F_contig2159	2	43.7
seq00000063	S-latissima_F_contig2537	1	40.6
seq00000063	S-latissima_F_contig2553	1	40.4
seq00000063	S-latissima_F_contig2775	1	36.7
seq00000063	S-latissima_F_contig2615	1	28.4
seq00000063	S-latissima_F_contig2617	1	27.3
seq00000063	S-latissima_F_contig3129	1	25.8
seq00000063	S-latissima_F_contig2898	1	25.7
seq00000063	S-latissima_F_contig3133	1	25.5
seq00000063	S-latissima_F_contig2642	2	22.8
seq00000063	S-latissima_F_contig3266	1	22.3
seq00000063	S-latissima_F_contig2985	1	17.7
seq00000063	S-latissima_F_contig3579	1	16.8
seq00000063	S-latissima_F_contig3772	1	12.8
seq00000063	S-latissima_F_contig3577	1	12.7
seq00000063	S-latissima_F_contig3715	1	12.4
seq00000063	S-latissima_F_contig3816	1	12.2
seq00000063	S-latissima_F_contig3683	1	11.3
seq00000063	S-latissima_F_contig3675	1	10.4
seq00000063	S-latissima_F_contig3619	1	10
seq00000063	S-latissima_F_contig3561	1	7.5
seq00000063	S-latissima_F_contig3177	1	7
seq00000063	S-latissima_F_contig3522	1	6.4
seq00000065	SL_29	74	5076.5
seq00000065	S-latissima_F_contig522	3	263.3
seq00000065	S-latissima_F_contig1334	3	117.2
seq00000065	S-latissima_F_contig1162	3	107.7
seq00000065	S-latissima_F_contig1457	1	95.9
seq00000065	S-latissima_F_contig1432	2	94.5
seq00000065	S-latissima_F_contig1040	2	88.6
seq00000065	S-latissima_F_contig1374	3	82.3
seq00000065	S-latissima_F_contig1669	2	77.1
seq00000065	S-latissima_F_contig1917	1	68.4
seq00000065	S-latissima_F_contig2157	3	60.7
seq00000065	S-latissima_F_contig1991	1	58.6
seq00000065	S-latissima_F_contig2441	1	46.3
seq00000065	S-latissima_F_contig2394	1	46.2
seq00000065	S-latissima_F_contig2497	1	45.2
seq00000065	S-latissima_F_contig2391	2	36.6
seq00000065	S-latissima_F_contig2049	3	36.4
seq00000065	S-latissima_F_contig2865	1	33.6
seq00000065	S-latissima_F_contig2684	2	33.5
seq00000065	S-latissima_F_contig2893	1	31.2
seq00000065	S-latissima_F_contig2768	1	31
seq00000065	S-latissima_F_contig3045	1	22.6
seq00000065	S-latissima_F_contig3316	1	20.1
seq00000065	S-latissima_F_contig3396	1	19.5
seq00000065	S-latissima_F_contig3333	1	18.8
seq00000065	S-latissima_F_contig3422	1	18.8
seq00000065	S-latissima_F_contig3001	1	17.9
seq00000065	S-latissima_F_contig3424	2	16.7
seq00000065	S-latissima_F_contig3472	1	16.2
seq00000065	S-latissima_F_contig3056	2	11.4
seq00000065	S-latissima_F_contig3208	1	10.6
seq00000065	S-latissima_F_contig3545	1	10.1
seq00000065	S-latissima_F_contig4001	1	9
seq00000065	S-latissima_F_contig4075	1	8.8
seq00000065	S-latissima_F_contig3926	1	8.5
seq00000065	S-latissima_F_contig4125	1	7.5
seq00000065	S-latissima_F_contig3478	1	7.4
seq00000065	S-latissima_F_contig3610	1	6.7
seq00000065	S-latissima_F_contig3460	1	6.5
seq00000065	S-latissima_F_contig3833	1	5.8
seq00000065	S-latissima_F_contig4277	1	5.8
seq00000068_75	SL_03	94	5711.3
seq00000068_75	S-latissima_F_contig1188	3	109.8
seq00000068_75	S-latissima_F_contig1763	1	62
seq00000068_75	S-latissima_F_contig1643	1	59
seq00000068_75	S-latissima_F_contig1739	4	58.5
seq00000068_75	S-latissima_F_contig2021	1	57.2
seq00000068_75	S-latissima_F_contig2222	1	55.3
seq00000068_75	S-latissima_F_contig2332	1	55.1
seq00000068_75	S-latissima_F_contig2227	2	54.8
seq00000068_75	S-latissima_F_contig1790	1	54.4
seq00000068_75	S-latissima_F_contig2313	1	53.5
seq00000068_75	S-latissima_F_contig2262	1	52.9
seq00000068_75	S-latissima_F_contig2384	2	48.8
seq00000068_75	S-latissima_F_contig2518	1	46.5
seq00000068_75	S-latissima_F_contig2276	1	45
seq00000068_75	S-latissima_F_contig1496	1	42
seq00000068_75	S-latissima_F_contig2258	3	38.6
seq00000068_75	S-latissima_F_contig2729	2	37.4
seq00000068_75	S-latissima_F_contig2544	1	31.5
seq00000068_75	S-latissima_F_contig2652	1	26.4
seq00000068_75	S-latissima_F_contig3022	1	24.1
seq00000068_75	S-latissima_F_contig3193	1	24.1
seq00000068_75	S-latissima_F_contig2108	2	23.3
seq00000068_75	S-latissima_F_contig3198	1	22.8
seq00000068_75	S-latissima_F_contig2271	2	21.4
seq00000068_75	S-latissima_F_contig2805	1	19.9
seq00000068_75	S-latissima_F_contig3085	2	18.7
seq00000068_75	S-latissima_F_contig3153	1	18.7
seq00000068_75	S-latissima_F_contig3438	1	17.8
seq00000068_75	S-latissima_F_contig3434	1	17.7
seq00000068_75	S-latissima_F_contig2588	1	17.4
seq00000068_75	S-latissima_F_contig3526	1	16.4
seq00000068_75	S-latissima_F_contig3637	1	15.6
seq00000068_75	S-latissima_F_contig3630	1	13.9
seq00000068_75	S-latissima_F_contig3344	1	13.6
seq00000068_75	S-latissima_F_contig3267	1	13.4
seq00000068_75	S-latissima_F_contig3679	1	12.5
seq00000068_75	S-latissima_F_contig3821	1	12.5
seq00000068_75	S-latissima_F_contig3836	1	12.3
seq00000068_75	S-latissima_F_contig3932	1	10.6
seq00000068_75	S-latissima_F_contig3963	1	10.3
seq00000068_75	S-latissima_F_contig2960	1	9.4
seq00000068_75	S-latissima_F_contig2921	1	9.3
seq00000068_75	S-latissima_F_contig3802	1	9
seq00000068_75	S-latissima_F_contig3945	1	8.9
seq00000068_75	S-latissima_F_contig3304	1	8.4
seq00000068_75	S-latissima_F_contig4122	1	7.5
seq00000068_75	S-latissima_F_contig4050	1	6.9
seq00000068_75	S-latissima_F_contig4195	1	6.3
seq00000068_75	S-latissima_F_contig3668	1	6.1
seq00000068_75	S-latissima_F_contig4046	1	6
seq00000068_75	S-latissima_F_contig4500	1	5.1
seq00000068_75	S-latissima_F_contig4214	1	4.9
seq00000068_75	S-latissima_F_contig3625	1	4.7
seq00000069_84	SL_31	81	5380.7
seq00000069_84	S-latissima_F_contig166	6	406.9
seq00000069_84	S-latissima_F_contig448	4	281
seq00000069_84	S-latissima_F_contig427	4	208
seq00000069_84	S-latissima_F_contig1431	4	109.8
seq00000069_84	S-latissima_F_contig1415	2	108.5
seq00000069_84	S-latissima_F_contig1574	2	89
seq00000069_84	S-latissima_F_contig1324	3	80.3
seq00000069_84	S-latissima_F_contig1845	1	77.4
seq00000069_84	S-latissima_F_contig2277	1	58.1
seq00000069_84	S-latissima_F_contig2129	1	48.6
seq00000069_84	S-latissima_F_contig1671	3	48.4
seq00000069_84	S-latissima_F_contig2358	2	48.2
seq00000069_84	S-latissima_F_contig2428	1	42.6
seq00000069_84	S-latissima_F_contig2562	1	38.5
seq00000069_84	S-latissima_F_contig2557	1	38.4
seq00000069_84	S-latissima_F_contig3060	1	25.1
seq00000069_84	S-latissima_F_contig2725	1	23.4
seq00000069_84	S-latissima_F_contig3322	1	20.3
seq00000069_84	S-latissima_F_contig3488	1	16.7
seq00000069_84	S-latissima_F_contig3381	1	14.8
seq00000069_84	S-latissima_F_contig3780	1	12.7
seq00000069_84	S-latissima_F_contig3819	1	12.6
seq00000069_84	S-latissima_F_contig3328	1	9.7
seq00000069_84	S-latissima_F_contig3070	1	7.3
seq00000069_84	S-latissima_F_contig3430	1	5.9
seq00000071_78	SL_17	66	4225.4
seq00000071_78	S-latissima_F_contig1193	2	131.7
seq00000071_78	S-latissima_F_contig1383	3	109.7
seq00000071_78	S-latissima_F_contig1353	4	96.1
seq00000071_78	S-latissima_F_contig776	3	83.6
seq00000071_78	S-latissima_F_contig1761	3	81.1
seq00000071_78	S-latissima_F_contig1685	3	76.7
seq00000071_78	S-latissima_F_contig1698	1	70.1
seq00000071_78	S-latissima_F_contig2117	2	59.1
seq00000071_78	S-latissima_F_contig1948	1	58.1
seq00000071_78	S-latissima_F_contig2364	1	50.5
seq00000071_78	S-latissima_F_contig1973	2	49.9
seq00000071_78	S-latissima_F_contig2354	1	48.6
seq00000071_78	S-latissima_F_contig2132	2	45.1
seq00000071_78	S-latissima_F_contig2138	1	43.6
seq00000071_78	S-latissima_F_contig2584	1	43.1
seq00000071_78	S-latissima_F_contig1016	2	42.1
seq00000071_78	S-latissima_F_contig1695	1	41.3
seq00000071_78	S-latissima_F_contig2439	2	39.9
seq00000071_78	S-latissima_F_contig2754	1	37.8
seq00000071_78	S-latissima_F_contig2385	1	37.6
seq00000071_78	S-latissima_F_contig2829	1	34.6
seq00000071_78	S-latissima_F_contig2783	1	33.3
seq00000071_78	S-latissima_F_contig2635	2	31.4
seq00000071_78	S-latissima_F_contig2861	1	30.4
seq00000071_78	S-latissima_F_contig2977	1	29
seq00000071_78	S-latissima_F_contig2705	1	26.9
seq00000071_78	S-latissima_F_contig3000	1	26.4
seq00000071_78	S-latissima_F_contig3039	1	25.2
seq00000071_78	S-latissima_F_contig2560	1	24.5
seq00000071_78	S-latissima_F_contig2556	1	23.5
seq00000071_78	S-latissima_F_contig3036	1	23.2
seq00000071_78	S-latissima_F_contig3217	1	22
seq00000071_78	S-latissima_F_contig3319	1	20.4
seq00000071_78	S-latissima_F_contig2811	1	20
seq00000071_78	S-latissima_F_contig3115	1	19.7
seq00000071_78	S-latissima_F_contig3008	1	19.2
seq00000071_78	S-latissima_F_contig3523	1	16.7
seq00000071_78	S-latissima_F_contig3510	1	16.5
seq00000071_78	S-latissima_F_contig3071	1	16
seq00000071_78	S-latissima_F_contig2691	1	15
seq00000071_78	S-latissima_F_contig3635	1	14.1
seq00000071_78	S-latissima_F_contig3705	1	14
seq00000071_78	S-latissima_F_contig3502	1	13.9
seq00000071_78	S-latissima_F_contig3653	1	13.7
seq00000071_78	S-latissima_F_contig3332	1	13.2
seq00000071_78	S-latissima_F_contig3669	1	12.9
seq00000071_78	S-latissima_F_contig3026	1	12.1
seq00000071_78	S-latissima_F_contig3046	1	9.5
seq00000071_78	S-latissima_F_contig3718	1	8.6
seq00000071_78	S-latissima_F_contig3929	1	8.6
seq00000071_78	S-latissima_F_contig4033	1	8.5
seq00000071_78	S-latissima_F_contig4086	1	8.5
seq00000071_78	S-latissima_F_contig4212	1	7.2
seq00000071_78	S-latissima_F_contig4164	1	6.5
seq00000071_78	S-latissima_F_contig4160	1	6.3
seq00000071_78	S-latissima_F_contig3947	1	6
seq00000072_93	SL_20	89	4402.8
seq00000072_93	S-latissima_F_contig1395	3	103.3
seq00000072_93	S-latissima_F_contig1614	2	96.4
seq00000072_93	S-latissima_F_contig1498	2	88.7
seq00000072_93	S-latissima_F_contig1605	2	85.6
seq00000072_93	S-latissima_F_contig1543	3	80.7
seq00000072_93	S-latissima_F_contig1769	2	65.6
seq00000072_93	S-latissima_F_contig1967	1	60.9
seq00000072_93	S-latissima_F_contig2825	1	32.4
seq00000072_93	S-latissima_F_contig2660	1	31.8
seq00000072_93	S-latissima_F_contig2619	1	30.9
seq00000072_93	S-latissima_F_contig2922	1	29.7
seq00000072_93	S-latissima_F_contig2885	1	25.8
seq00000072_93	S-latissima_F_contig3006	1	22.5
seq00000072_93	S-latissima_F_contig3225	1	19
seq00000072_93	S-latissima_F_contig3387	1	18.7
seq00000072_93	S-latissima_F_contig3490	1	17.6
seq00000072_93	S-latissima_F_contig3278	1	15.6
seq00000072_93	S-latissima_F_contig3003	2	15.5
seq00000072_93	S-latissima_F_contig3609	1	14.7
seq00000072_93	S-latissima_F_contig3666	1	13.1
seq00000072_93	S-latissima_F_contig3486	1	9.9
seq00000072_93	S-latissima_F_contig4016	1	8.2
seq00000072_93	S-latissima_F_contig4090	1	7.5
seq00000072_93	S-latissima_F_contig2626	1	7.2
seq00000072_93	S-latissima_F_contig3733	1	7.2
seq00000072_93	S-latissima_F_contig3993	1	6.5
seq00000072_93	S-latissima_F_contig4257	1	6.2
seq00000076_74	SL_21	95	5582.2
seq00000076_74	S-latissima_F_contig1218	1	131.3
seq00000076_74	S-latissima_F_contig1248	2	130.4
seq00000076_74	S-latissima_F_contig1407	2	105.4
seq00000076_74	S-latissima_F_contig1389	3	87.1
seq00000076_74	S-latissima_F_contig1708	1	86.1
seq00000076_74	S-latissima_F_contig1014	2	76.1
seq00000076_74	S-latissima_F_contig1898	1	70.9
seq00000076_74	S-latissima_F_contig2064	1	58.9
seq00000076_74	S-latissima_F_contig1462	1	54.9
seq00000076_74	S-latissima_F_contig2297	1	54.7
seq00000076_74	S-latissima_F_contig2337	1	54.4
seq00000076_74	S-latissima_F_contig2187	1	53.6
seq00000076_74	S-latissima_F_contig2334	1	53
seq00000076_74	S-latissima_F_contig2097	1	50.9
seq00000076_74	S-latissima_F_contig2001	2	48.9
seq00000076_74	S-latissima_F_contig2578	1	41.8
seq00000076_74	S-latissima_F_contig2474	1	40.7
seq00000076_74	S-latissima_F_contig2148	1	38.1
seq00000076_74	S-latissima_F_contig2690	1	37.9
seq00000076_74	S-latissima_F_contig2639	1	37.2
seq00000076_74	S-latissima_F_contig2781	1	34
seq00000076_74	S-latissima_F_contig2794	1	32.6
seq00000076_74	S-latissima_F_contig2896	1	32.4
seq00000076_74	S-latissima_F_contig2636	1	24.9
seq00000076_74	S-latissima_F_contig2764	1	24.5
seq00000076_74	S-latissima_F_contig2758	1	23.3
seq00000076_74	S-latissima_F_contig3047	1	22.6
seq00000076_74	S-latissima_F_contig3264	1	21.2
seq00000076_74	S-latissima_F_contig2173	2	20.7
seq00000076_74	S-latissima_F_contig3284	1	20.7
seq00000076_74	S-latissima_F_contig3364	1	20.1
seq00000076_74	S-latissima_F_contig3272	1	19.8
seq00000076_74	S-latissima_F_contig3379	1	19.6
seq00000076_74	S-latissima_F_contig3363	1	18.3
seq00000076_74	S-latissima_F_contig3140	1	17.8
seq00000076_74	S-latissima_F_contig3398	1	17.6
seq00000076_74	S-latissima_F_contig2857	1	17
seq00000076_74	S-latissima_F_contig3483	1	16.6
seq00000076_74	S-latissima_F_contig2269	2	16.3
seq00000076_74	S-latissima_F_contig3633	1	15.7
seq00000076_74	S-latissima_F_contig3169	1	15.2
seq00000076_74	S-latissima_F_contig3125	1	14.8
seq00000076_74	S-latissima_F_contig3103	1	14.1
seq00000076_74	S-latissima_F_contig3688	1	13.9
seq00000076_74	S-latissima_F_contig3388	1	13.1
seq00000076_74	S-latissima_F_contig3295	1	12.9
seq00000076_74	S-latissima_F_contig3815	1	11.6
seq00000076_74	S-latissima_F_contig3892	1	10.7
seq00000076_74	S-latissima_F_contig3690	1	10.2
seq00000076_74	S-latissima_F_contig3782	1	10.2
seq00000076_74	S-latissima_F_contig3025	1	9.9
seq00000076_74	S-latissima_F_contig3860	1	9.5
seq00000076_74	S-latissima_F_contig3572	1	9.1
seq00000076_74	S-latissima_F_contig3898	1	7.6
seq00000076_74	S-latissima_F_contig4168	1	7.6
seq00000076_74	S-latissima_F_contig3982	1	7.3
seq00000076_74	S-latissima_F_contig4059	1	6.7
seq00000076_74	S-latissima_F_contig4322	1	5.6
seq00000076_74	S-latissima_F_contig3494	1	5.3
seq00000076_74	S-latissima_F_contig4169	1	4.9
seq00000081	SL_04	149	8455.4
seq00000081	S-latissima_F_contig194	8	275.7
seq00000081	S-latissima_F_contig682	3	214.3
seq00000081	S-latissima_F_contig1178	3	134.9
seq00000081	S-latissima_F_contig1400	3	111.2
seq00000081	S-latissima_F_contig904	3	97
seq00000081	S-latissima_F_contig891	1	88.5
seq00000081	S-latissima_F_contig1984	1	71.5
seq00000081	S-latissima_F_contig2031	1	70
seq00000081	S-latissima_F_contig1530	2	67
seq00000081	S-latissima_F_contig2015	2	54.6
seq00000081	S-latissima_F_contig2375	1	50.6
seq00000081	S-latissima_F_contig2153	1	48.6
seq00000081	S-latissima_F_contig1837	2	43.5
seq00000081	S-latissima_F_contig2416	2	39.4
seq00000081	S-latissima_F_contig2270	3	37.7
seq00000081	S-latissima_F_contig2693	1	36
seq00000081	S-latissima_F_contig2848	1	33.9
seq00000081	S-latissima_F_contig2793	1	33.3
seq00000081	S-latissima_F_contig2744	1	28
seq00000081	S-latissima_F_contig2945	1	27.6
seq00000081	S-latissima_F_contig3114	1	26.3
seq00000081	S-latissima_F_contig2924	1	26.1
seq00000081	S-latissima_F_contig3171	2	24
seq00000081	S-latissima_F_contig3195	1	22.4
seq00000081	S-latissima_F_contig2586	1	19.9
seq00000081	S-latissima_F_contig2782	1	19.4
seq00000081	S-latissima_F_contig2998	1	18.6
seq00000081	S-latissima_F_contig2608	1	17.6
seq00000081	S-latissima_F_contig1868	1	16.8
seq00000081	S-latissima_F_contig3420	1	16.2
seq00000081	S-latissima_F_contig2536	2	15
seq00000081	S-latissima_F_contig3595	1	14.2
seq00000081	S-latissima_F_contig3623	1	13.2
seq00000081	S-latissima_F_contig3176	1	12.4
seq00000081	S-latissima_F_contig3775	1	12.1
seq00000081	S-latissima_F_contig3620	1	11.7
seq00000081	S-latissima_F_contig3439	1	11.5
seq00000081	S-latissima_F_contig3745	1	10.9
seq00000081	S-latissima_F_contig3786	1	9.3
seq00000081	S-latissima_F_contig4157	1	7.8
seq00000081	S-latissima_F_contig4060	1	7.5
seq00000081	S-latissima_F_contig3726	1	7.4
seq00000081	S-latissima_F_contig3431	1	6.5
seq00000081	S-latissima_F_contig4181	1	6
seq00000081	S-latissima_F_contig4422	1	5.6
seq00000081	S-latissima_F_contig4339	1	5.5
seq00000081	S-latissima_F_contig2776	1	5.4
seq00000081	S-latissima_F_contig4467	1	5.2
seq00000085_70	SL_01	91	5699.9
seq00000085_70	S-latissima_F_contig1335	2	117.5
seq00000085_70	S-latissima_F_contig1419	4	111.4
seq00000085_70	S-latissima_F_contig1224	3	100.6
seq00000085_70	S-latissima_F_contig1683	1	88.8
seq00000085_70	S-latissima_F_contig1468	3	82.1
seq00000085_70	S-latissima_F_contig1965	1	71.1
seq00000085_70	S-latissima_F_contig1969	1	70.7
seq00000085_70	S-latissima_F_contig1811	3	69
seq00000085_70	S-latissima_F_contig2254	1	57.7
seq00000085_70	S-latissima_F_contig2352	1	52.1
seq00000085_70	S-latissima_F_contig1956	1	52
seq00000085_70	S-latissima_F_contig2410	1	48.1
seq00000085_70	S-latissima_F_contig2522	1	46.4
seq00000085_70	S-latissima_F_contig2398	1	42.5
seq00000085_70	S-latissima_F_contig2679	2	39.8
seq00000085_70	S-latissima_F_contig2169	1	38.6
seq00000085_70	S-latissima_F_contig2622	2	37
seq00000085_70	S-latissima_F_contig2603	1	34.9
seq00000085_70	S-latissima_F_contig2661	1	34.6
seq00000085_70	S-latissima_F_contig2812	1	34.5
seq00000085_70	S-latissima_F_contig2854	1	33.6
seq00000085_70	S-latissima_F_contig2683	1	31.7
seq00000085_70	S-latissima_F_contig1856	2	31
seq00000085_70	S-latissima_F_contig2909	1	28.3
seq00000085_70	S-latissima_F_contig2750	2	28
seq00000085_70	S-latissima_F_contig1722	1	27.9
seq00000085_70	S-latissima_F_contig3050	1	24.9
seq00000085_70	S-latissima_F_contig2855	2	23.9
seq00000085_70	S-latissima_F_contig2873	1	22.9
seq00000085_70	S-latissima_F_contig3271	1	22.2
seq00000085_70	S-latissima_F_contig2446	1	20.5
seq00000085_70	S-latissima_F_contig3370	1	20.3
seq00000085_70	S-latissima_F_contig2213	1	19.4
seq00000085_70	S-latissima_F_contig3405	1	19.1
seq00000085_70	S-latissima_F_contig3353	1	17.5
seq00000085_70	S-latissima_F_contig3474	1	17.5
seq00000085_70	S-latissima_F_contig2432	1	16.8
seq00000085_70	S-latissima_F_contig2994	1	16.6
seq00000085_70	S-latissima_F_contig3632	1	15.8
seq00000085_70	S-latissima_F_contig3130	1	15.5
seq00000085_70	S-latissima_F_contig3530	1	15.5
seq00000085_70	S-latissima_F_contig3354	1	15
seq00000085_70	S-latissima_F_contig3102	1	14.7
seq00000085_70	S-latissima_F_contig3678	1	14.7
